"username","arts","business","computers","games","health","home","news","recreation","reference","regional","science","shopping","society","sports","world"
"spazkapur",0.0843574207974361,0.0485452830251273,0.013189744078896,0.0234265615703719,0.0516331393998366,0.0181117014295173,0.00584935897435897,0.0658735670761174,0.00523274677234747,0,0.0164014565467995,0.0463679353026038,0.0730865537225189,0.358004968189904,0.00241956311416451
"NitinKapoor2020",0,0,0,0,0,0.339100346020761,0,0,0,0,0,0,0.660899653979239,0,0
"MadridistaZazo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AnOwlette",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nami_fight4life",0,0,0,0,0,0.339100346020761,0,0,0,0,0,0,0.660899653979239,0,0
"theashiya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DraggoTigger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uselessburger",0,0.202839756592292,0,0,0.391480730223124,0.405679513184584,0,0,0,0,0,0,0,0,0
"Shravan_Karthik",0.0982515510326721,0.0678541454308924,0.0126571690767991,0.0332063668616295,0.0254095489738129,0.0473869565276962,0.0107411632976803,0.0721971413546842,0.00685744753472064,0.00375034615202517,0.0371102306659644,0.0563783062181061,0.185377725013059,0.219109868677204,0.00371203318305376
"DrGarekar",0.0888363715906651,0.0608878655126393,0.0135373943268187,0.0292666342377231,0.0623864240511586,0.0285980122749555,0.00613237529748439,0.0964492482237594,0.00576860741046874,0.000745912400047738,0.0565450959278863,0.0597482536685222,0.110946802607952,0.210211014726756,0.00327332107649664
"deepakshenoy",0.0756097939108667,0.103460997689811,0.0591475812486589,0.0205559790652466,0.0504716722610133,0.0941830940239026,0.0118626385514178,0.0434309109608294,0.011439145850146,0,0.0903563411146355,0.03596905173874,0.15715379072125,0.0645592411587847,0.0100825899875256
"Sid_Pee",0.15148489782127,0.0203554599907848,0.0200602122004446,0.0839345201546884,0.0434638816362054,0.0140052046368583,0.0123595572638956,0.0848869022658813,0,0,0.0110534638142854,0.0314184610006995,0.00786874295495345,0.172442029593366,0.0133333333333333
"no2_tweet",0,0.127388535031847,0,0,0,0.127388535031847,0.745222929936306,0,0,0,0,0,0,0,0
"1oNo1_Islam",0,0.127388535031847,0,0,0,0.127388535031847,0.745222929936306,0,0,0,0,0,0,0,0
"suitsandcloves",0.19724375538329,0,0.0422049956933678,0.0378983634797588,0,0.0430663221360896,0,0.0792420327304048,0,0,0.47114556416882,0,0.0430663221360896,0.0861326442721792,0
"InPRA_official",0.19724375538329,0,0.0422049956933678,0.0378983634797588,0,0.0430663221360896,0,0.0792420327304048,0,0,0.47114556416882,0,0.0430663221360896,0.0861326442721792,0
"Truth00112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISlam_love_him",0,0.127388535031847,0,0,0,0.127388535031847,0.745222929936306,0,0,0,0,0,0,0,0
"ploom8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"withnomoney",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"shelleypetersen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"akhtarmosavi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tootoo078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmnksa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edhakera",0,0.127388535031847,0,0,0,0.127388535031847,0.745222929936306,0,0,0,0,0,0,0,0
"MONAAL_JO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hoho909011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wavehit",0,0,0,0,0,0.339100346020761,0,0,0,0,0,0,0.660899653979239,0,0
"bhoopalp",0,0,0,0,0,0.339100346020761,0,0,0,0,0,0,0.660899653979239,0,0
"readernewspaper",0,0,0,0,0,0.339100346020761,0,0,0,0,0,0,0.660899653979239,0,0
"empressborn",0,0,0,0,0,0.339100346020761,0,0,0,0,0,0,0.660899653979239,0,0
"SamitLive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"saggirex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"navneetkdbnp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69bpl69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sudha073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruchir78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bharatmodi_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medhanarmada",0.0662834409908851,0.103820967518507,0.0240322425413938,0.0282935474503232,0.0212715958079728,0.0338409538490884,0.0181427298672039,0.0622465591017061,0.010375104295872,0.00167006639841954,0.0846083579326167,0.0475809596858991,0.310637886647351,0.0722448145480007,0.00742389164433132
