username,arts,business,computers,games,health,home,news,recreation,reference,regional,science,shopping,society,sports,world
sidp,0,0,0,0,0,0,0,2,0,0,0,0,1,34,0
sidp,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
sidp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rjj,0,0,0,0,0,0,0,3,0,0,0,0,0,45,0
rjj,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0
rjj,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
murgi,0,2,1,1,1,0,0,1,1,0,7,0,0,20,0
murgi,0,2,0,0,6,0,0,2,0,1,0,1,0,0,0
murgi,10,0,0,2,0,0,0,3,0,0,0,0,0,19,2
rkd,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
rkd,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
rkd,10,0,0,2,0,0,0,3,0,0,0,0,0,19,2
reddy,4,0,0,1,0,0,0,4,0,0,1,1,0,1,0
reddy,0,0,1,0,0,0,0,0,0,0,7,0,5,0,0
reddy,3,0,3,1,0,0,0,1,1,0,13,1,0,1,0
shravan,0,0,0,0,0,0,0,3,0,0,0,0,0,49,0
shravan,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
bj,0,0,0,0,0,0,0,4,0,0,0,4,0,28,0
bj,0,2,7,0,0,0,0,0,0,0,3,1,0,0,0
bj,0,0,1,0,0,1,0,1,0,0,7,0,0,15,0
adi,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0
adi,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0
adi,0,2,0,0,5,0,0,3,0,0,0,3,1,0,0
nehal,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0
nehal,0,2,1,1,1,0,0,1,1,0,7,0,0,20,0
nehal,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
aneesh,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
aneesh,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
aneesh,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0
